uid,texts,rob_neg,rob_neu,rob_pos,translated_text,french_sentiment
2.32367e+17,b'RT @SpaceX: Success! Congrats @NASA on @MarsCuriosity!',0.000868167,0.020609006,0.97852284,b'RT @SpaceX: Succès! Félicitations @NASA sur @MarsCuriosity!',Positive
5.26193e+17,"b'RT @SpaceX: [PHOTO] Splashdown! Dragon lands in the Pacific Ocean, carrying 3,276 lbs of cargo &amp; science samples. http://t.co/AZzCFISeDI'",0.035062768,0.8706577,0.09427951,"b'RT @SpaceX: [PHOTO] Splashdown! Dragon atterrit dans l'océan Pacifique, transportant 3 276 lb de cargo &amp; échantillons scientifiques. http://t.co/AZzCFISeDI'",Neutral
6.5441e+17,"b'RT @WIRED: Breaking: Tesla just made its cars autonomous, kinda http://t.co/1jxVX9k7rO'",0.03443482,0.49579737,0.46976775,"b'RT @WIRED: Breaking: Tesla vient de rendre ses voitures autonomes, en quelque sorte http://t.co/1jxVX9k7rO'",Neutral
7.59424e+17,b'View of Dragon from @Space_Station cupola https://t.co/1HjljLWdFi',0.038474135,0.9123957,0.04913021,b'Vue du Dragon à partir de @Space_Station coupole https://t.co/1HjljLWdFi',Neutral
7.17755e+17,"b'@jpfrappier yes, will go all the way to Alaska'",0.009443143,0.63736814,0.35318872,"b'@jpfrappier oui, ira jusqu'en Alaska'",Neutral
7.59413e+17,"b'@voguemaster @Jalopnik not bad, I like those suggestions'",0.0023225413,0.041334223,0.9563433,"b'@voguemaster @Jalopnik pas mal, j'aime ces suggestions'",Positive
7.02239e+17,"b""RT @bonnienorman: Wonder what I'm upset about in #Indiana &amp; why I'm directing tweets at @mtbarra and @GM? Hey @FTC, pay attention! https://\xe2\x80\xa6""",0.5240599,0.43734762,0.03859252,"b""RT @bonnienorman: Je me demande ce qui m'énerve dans #Indiana &amp; pourquoi je dirige des tweets à @mtbarra et @GM? Hey @FTC, faites attention! https://\xe2\x80\xa6""",Negative
1.848e+17,"b'The Model S beta endurance car just passed 150,000 miles on a single battery pack!'",0.0017277704,0.101781234,0.896491,b'Le modèle S beta voiture d'endurance vient de passer 150.000 miles sur une batterie unique!',Neutral
1.79096e+17,"b'Mountain lions eat cats, which means we *actually* live in a cat eat cat world ... an apology is owed to dogkind!'",0.61934423,0.32413274,0.05652297,"b'Mountain lions mangent des chats, ce qui signifie que nous *en réalité *vivons dans un chat manger le monde des chats ... une excuse est due à la dogkind!'",Neutral
5.75537e+17,b'Model S in drag race against snowmobile on ice lake in Norway (no tire chains or studs) http://t.co/OWwfGRQC8p',0.079852015,0.86110926,0.059038687,b'Modèle S dans la course à la traîne contre la motoneige sur le lac de glace en Norvège (pas de chaînes de pneus ou de goujons) http://t.co/OWwfGRQC8p',Neutral
7.17749e+17,"b""@Recode Dex will do comms, but my speeches are just a conversation w the audience. No time to rehearse &amp; don't want to read from a prompter.""",0.35104284,0.5383491,0.110608004,"b""@Recode Dex fera des comms, mais mes discours ne sont qu'une conversation avec le public. Pas le temps de répéter &amp; ne veulent pas lire d'un stimulateur.""",Negative
1.51152e+17,b'I',0.16006574,0.7043397,0.13559462,C'est moi.,Neutral
6.0055e+17,"b'Fossil fuels subsidised by $10m a minute, says IMF  http://t.co/c4nsZjXc32'",0.1852665,0.762968,0.051765572,"b'Les combustibles fossiles subventionnés de 10 millions de dollars par minute, indique le FMI http://t.co/c4nsZjXc32'",Neutral
6.46814e+17,b'@deadmau5 It was super good',0.0011709284,0.019946592,0.9788825,b'@deadmau5 C'était super bien',Positive
